,wavelengths,intensities
298,270.27763610745325,876.0
299,270.35224622562333,874.0
300,270.42685009700006,874.0
301,270.5014477215833,862.0
302,270.5760390993732,873.0
303,270.6506242303697,869.0
304,270.7252031145728,867.0
305,270.7997757519825,860.0
306,270.87434214259883,859.0
307,270.94890228642174,866.0
308,271.02345618345123,869.0
309,271.09800383368736,851.0
310,271.17254523713,851.0
311,271.2470803937793,863.0
312,271.32160930363517,876.0
313,271.3961319666977,869.0
314,271.47064838296683,862.0
315,271.5451585524425,874.0
316,271.6196624751248,858.0
317,271.6941601510137,864.0
318,271.76865158010924,884.0
319,271.84313676241135,887.0
320,271.91761569792004,885.0
321,271.99208838663526,882.0
322,272.0665548285572,889.0
323,272.14101502368567,870.0
324,272.2154689720208,860.0
325,272.2899166735625,869.0
326,272.3643581283108,867.0
327,272.43879333626575,857.0
328,272.5132222974272,863.0
329,272.5876450117953,891.0
330,272.66206147937004,896.0
331,272.7364717001513,865.0
332,272.8108756741392,869.0
333,272.8852734013337,868.0
334,272.9596648817348,860.0
335,273.0340501153425,886.0
336,273.10842910215683,887.0
337,273.1828018421777,865.0
338,273.2571683354052,855.0
339,273.33152858183934,860.0
340,273.40588258148006,875.0
341,273.4802303343273,873.0
342,273.5545718403812,893.0
343,273.6289070996417,885.0
344,273.7032361121088,893.0
345,273.7775588777825,943.0
346,273.8518753966628,985.0
347,273.9261856687497,909.0
348,274.0004896940432,869.0
349,274.07478747254333,900.0
350,274.14907900425004,917.0
351,274.22336428916327,925.0
352,274.2976433272832,889.0
353,274.3719161186097,885.0
354,274.4461826631428,919.0
355,274.5204429608825,1016.0
356,274.5946970118288,988.0
357,274.6689448159817,949.0
358,274.74318637334125,1010.0
359,274.81742168390736,1048.0
360,274.89165074768005,946.0
361,274.96587356465926,891.0
362,275.0400901348452,894.0
363,275.1143004582377,898.0
364,275.1885045348368,902.0
365,275.2627023646425,919.0
366,275.3368939476548,934.0
367,275.41107928387373,983.0
368,275.48525837329925,979.0
369,275.55943121593134,917.0
370,275.63359781177,885.0
371,275.7077581608153,880.0
372,275.78191226306717,878.0
373,275.8560601185257,875.0
374,275.9302017271908,865.0
375,276.0043370890625,860.0
376,276.0784662041408,868.0
377,276.1525890724257,871.0
378,276.2267056939172,882.0
379,276.30081606861535,864.0
380,276.37492019652,857.0
381,276.4490180776313,874.0
382,276.5231097119492,883.0
383,276.5971950994737,903.0
384,276.6712742402048,914.0
385,276.7453471341425,909.0
386,276.8194137812868,890.0
387,276.8934741816377,893.0
388,276.9675283351952,888.0
