name,nm
Fe II,256.650852
Fe II,256.662423
Fe II,256.677001
Fe II,256.691229
Fe II,256.732421
Fe II,256.735540
Fe II,256.742101
Fe II,256.763085
Fe II,256.812518
Fe II,256.836213
Fe II,256.840969
Fe I,256.886433
Fe II,256.888571
Fe II,256.898429
Fe II,256.956190
Fe I,256.959678
Fe II,256.967459
Fe I,256.974362
Fe II,256.977955
Fe II,256.995133
Fe II,257.046096
Fe II,257.084892
Fe II,257.087905
Fe II,257.117236
Fe II,257.145591
Fe II,257.154812
Fe II,257.165595
Fe II,257.208837
Fe II,257.222107
Fe II,257.247029
Fe I,257.275372
Fe II,257.296762
Fe II,257.318211
Fe II,257.321155
Fe II,257.367602
Fe II,257.375565
Fe II,257.430772
Fe II,257.436589
Fe II,257.487845
Fe II,257.644664
Fe I,257.669004
Fe II,257.686368
Fe II,257.687416
Fe II,257.750783
Fe II,257.772291
Fe II,257.792172
Fe II,257.802465
Fe II,257.821023
Fe II,257.862809
Fe II,257.879140
Fe II,257.880763
Fe II,257.898494
Fe II,257.911596
Fe II,257.941191
Fe II,257.984234
Fe II,258.012738
Fe II,258.072081
Fe II,258.111138
Fe II,258.116216
Fe II,258.177834
Fe II,258.241342
Fe II,258.258299
Fe II,258.288977
Fe II,258.305375
Fe II,258.416528
Fe I,258.453576
Fe II,258.561956
Fe II,258.576073
Fe II,258.587553
Fe II,258.606002
Fe II,258.677438
Fe II,258.794912
Fe II,258.819115
Fe II,258.827466
Fe II,258.871631
Fe II,258.879468
Fe II,258.879624
Fe II,258.953236
Fe II,259.055074
Fe II,259.064276
Fe II,259.09573
Fe II,259.12173
Fe II,259.154254
Fe II,259.278409
Fe II,259.372753
Fe I,259.415106
Fe II,259.433755
Fe II,259.464589
Fe II,259.496508
Fe II,259.530282
Fe II,259.605338
Fe II,259.64588
Fe II,259.667824
Fe II,259.70904
Fe II,259.744843
Fe II,259.766550
Fe II,259.794547
Fe II,259.803109
Fe II,259.836884
Fe II,259.875606
Fe II,259.939511
Fe II,259.947113
Fe I,259.956642
Fe II,260.042519
Fe II,260.135180
Fe II,260.154420
Fe II,260.159349
Fe II,260.220205
Fe II,260.278501
Fe II,260.31710
Fe II,260.405528
Fe II,260.40665
Fe II,260.466848
Fe II,260.503757
Fe II,260.531023
Fe II,260.542486
Fe I,260.565678
Fe II,260.590437
Fe II,260.651590
Fe I,260.682632
Fe II,260.708691
Fe II,260.721339
Fe II,260.752868
Fe II,260.787819
Fe II,260.84064
Fe II,260.853299
Fe II,260.885234
Fe II,260.903727
Fe II,260.912546
Fe I,260.92201
Fe II,260.944014
Fe II,260.986565
Fe II,261.05092
Fe II,261.083527
Fe II,261.100269
Fe II,261.107256
Fe II,261.134160
Fe II,261.187335
Fe II,261.271257
Fe II,261.29608
Fe II,261.332750
Fe II,261.357068
Fe II,261.382399
Fe II,261.418979
Fe II,261.439953
Fe I,261.449444
Fe II,261.458560
Fe II,261.487120
Fe II,261.498249
Fe II,261.546505
Fe II,261.673965
Fe II,261.737855
Fe II,261.761702
Fe I,261.801804
Fe II,261.863664
Fe II,261.907388
Fe II,261.910572
Fe II,261.984801
Fe II,262.017152
Fe II,262.02417
Fe II,262.040852
Fe II,262.069493
Fe II,262.082899
Fe II,262.111287
Fe II,262.166876
Fe II,262.225079
Fe II,262.24457
Fe II,262.261569
Fe II,262.312997
Fe I,262.353360
Fe II,262.370072
Fe II,262.372504
Fe II,262.411334
Fe II,262.452761
Fe II,262.455855
Fe II,262.506215
Fe II,262.518597
Fe II,262.548906
Fe II,262.566683
Fe II,262.650042
Fe II,262.666468
Fe II,262.669899
Fe II,262.694934
Fe II,262.755028
Fe II,262.756734
Fe II,262.768766
Fe II,262.819993
Fe II,262.829292
