,samsun\1,samsun\10,samsun\11,samsun\12,samsun\13,samsun\14,samsun\15,samsun\16,samsun\17,samsun\18,samsun\19,samsun\2,samsun\20,samsun\21,samsun\22,samsun\23,samsun\24,samsun\25,samsun\26,samsun\27,samsun\28,samsun\29,samsun\3,samsun\30,samsun\31,samsun\32,samsun\33,samsun\34,samsun\35,samsun\36,samsun\37,samsun\38,samsun\39,samsun\4,samsun\40,samsun\41,samsun\42,samsun\43,samsun\44,samsun\45,samsun\46,samsun\47,samsun\48,samsun\49,samsun\5,samsun\50,samsun\6,samsun\7,samsun\8,samsun\9
249.29376636132002,32.085416263770234,27.847844540341104,31.228884582031302,26.79192874406713,42.964032550815524,30.761853927667346,32.60419798489763,30.12403373902208,32.149555957474114,27.458249645171737,29.72024917630077,35.48351596881603,34.30031289274655,29.110226585778594,29.61720901270852,23.732696959672374,34.159758871834256,29.431775252906885,26.221025246058222,27.753879379511687,35.33293579451661,42.523095970058066,29.154325926032072,33.258428188233204,25.642122239119917,35.60650717547377,22.05295758263895,34.57428257136144,24.014263305910692,32.99563700060211,25.891815028511466,30.413243105618147,29.75855018076021,30.048607999498405,21.278244616381173,35.37038203051671,38.117258100181964,26.150540363008208,27.74018748327727,30.038013512661422,28.89775728902311,33.74671733335272,35.26279547626467,27.5146526464956,28.35632484733235,26.54587430252868,25.168300506742412,29.65475947763544,31.147004419579368,25.524960548062932
249.37011308805526,32.29207636268891,37.31166826243188,35.07685174235044,31.541302843738997,34.70405952570023,34.06572086404543,36.586459455783256,33.90919301881018,34.472661450989,31.38145800782481,33.02391608244503,31.559995250411568,22.9446416361612,31.17496661086913,33.540317180708584,38.5993929986804,38.633990400253474,33.04499577276987,38.094023368548186,35.84136209562133,33.61255220092432,27.03600185931827,32.42327721435777,34.91047818783605,37.77322042958937,38.531976895668386,37.79698585357803,31.6488539714021,35.98988626238083,27.627485910521784,37.24762753226987,37.46831917368202,39.463031992677074,32.11348593867088,34.957472067348725,29.795279790558716,35.53640377542681,29.419990171373055,26.70778180694906,35.02782835040302,31.86609140458525,26.72672447469919,43.00626291387703,40.93683079235134,32.83019575065541,25.513359293006218,33.63417037664303,39.72083291312832,34.450897043622696,38.32724601319016
249.44645356799717,35.5957423958145,37.48398835233727,38.36223657461171,39.18165133059505,41.93133853475711,44.59789973192524,43.96168886809296,32.188931849568384,40.66768488624279,50.5859087330944,45.001092046227384,39.19995488168486,34.816960224696096,39.43506802816666,37.256954613268725,39.63201667184707,38.80581456267449,28.657722549346655,38.78220759321193,41.520047691691786,36.70945429956384,42.10960417345505,34.31628475187196,34.910489375914885,43.96828087317223,40.08080395331768,39.34534974034921,44.38279704248316,41.358846004641606,38.15807045801596,36.2149695568032,37.29619571335207,44.83190737518999,45.12281893498057,36.76413778502132,40.945886789373006,33.29950914557359,37.16313661667498,43.2266699691118,33.13501502163998,41.545306957299104,35.60519478520715,40.081033098677345,41.34983062861147,37.304135024735785,47.19489527236709,39.82891574712956,35.33276872884307,33.211631987378404,41.63088190769647
249.5227878011457,49.43152556533239,40.40949979841826,43.712547061194904,39.181136589854155,39.24691373761105,46.86915551126622,43.07691223516372,48.19246355238425,41.44203315502437,48.727215855884516,42.93557489626912,42.297438731027725,37.656332891484965,41.08687518322471,47.16913634332649,51.40267183528717,44.31278802935267,39.75608461979403,47.21444548290766,39.45513741068441,42.043845679508486,45.62046545403656,45.329464996206866,39.86630717331177,44.48437663417739,40.941243669451474,47.089198031038705,42.83402414856712,37.43568711159634,40.42972439128574,45.30136399085047,40.049484168931066,38.43013696975604,49.25330047952109,37.79666931503766,45.28228472365383,42.763680798726455,38.883907642653064,45.498322608409346,36.74877347785943,51.87106854749043,40.35439185166661,40.597139705330065,47.54484054034474,40.573555848573456,38.418368582985096,42.10028530549747,49.01374286388635,37.13508525991632,43.07634452088066
249.5991157875008,52.52941169270819,52.62762205829773,57.22963504295864,52.81091666417433,53.909203900631816,49.9663446309619,41.89697427020675,56.281012261876135,51.423241890404974,43.77120956816469,55.53321386748846,44.15585612199524,51.59532389995624,51.61876409615651,53.571188386279836,54.500891441947225,54.46621921467366,52.40468998749921,52.549415749119184,51.67355034690579,52.54162735264676,49.33768118352032,52.21308294189817,53.29038731759179,53.261401860169215,46.96483214564324,49.92874758382123,50.40631542990394,45.6954306773013,52.820187217474405,53.14904398497248,56.57058105316987,46.48405249102402,49.04677754485657,46.57313721352861,51.47777243989291,52.745236305912044,54.544432472351765,53.3460728655005,42.42745414771988,48.256856871717225,49.64730073228874,50.57808217334274,52.91421721409208,56.06188000440297,50.29294345362116,54.9041255937491,45.91624485404148,52.21028048526479,53.19592826283072
249.67543752706248,65.12769656569455,60.373012594698174,65.77311151685605,75.53068726577355,62.99689979801847,63.59748330749854,65.20427695036106,61.27254056766898,81.11593850691774,64.83697809177191,73.50261048324445,60.884245186048815,65.27854326479266,66.07609440178996,61.83239807108801,63.175027299154955,58.94084819667042,73.05906210478688,69.58887317722217,68.36838249418422,57.18856367959565,57.39197319723812,63.05615886337415,63.61645764840422,67.71921369164555,59.01250124101144,70.84099531004365,59.87197281491813,57.054131911228886,58.603184073399554,63.063060049041084,54.50539140783982,53.711987078289894,58.75326258461147,59.99724184662231,64.28288037882768,60.490191326140575,61.60103763254126,56.85682685290766,54.47395064088545,53.420030652467844,63.898220075634825,62.969897272125934,66.13253848065119,70.5200052665008,67.58986545243525,66.4704844214107,76.38029930003191,65.01516016775815,60.21767671562795
249.75175301983083,74.21612966486461,67.25748260505596,74.12922570588242,64.78986571050902,72.70496548051429,76.61067266254739,69.18782254962923,75.38698306125525,94.71627160427745,73.7184962102564,79.90623471327504,70.38546476006152,75.60589295589838,65.043311022283,66.78992588105125,76.3945675483644,73.57143311709795,74.34987961907213,72.68742535606881,74.39303834664885,69.23680229670862,73.7091512548261,69.25263871983118,68.77974857316742,64.36242779259213,70.37136654460342,66.70973384733081,72.43682649043502,72.33862417237677,68.93010329399382,70.08513616869416,64.83197812913359,70.85492584220158,75.4843155023373,68.51693754041776,73.7844382713967,66.85861669533675,73.3053179858771,65.32499265375768,66.00570024369519,61.42283663342606,64.72431359514508,73.64194656128079,71.70927637244186,71.72529770361437,72.49562112632073,71.01507128391025,70.95827966056844,69.35253469750772,70.13212900911378
249.8280622658057,77.10821326554523,74.65888863906189,79.76292418899907,74.70448359870977,73.94380562217557,71.65379456664178,77.30301387483817,77.79709466030236,93.16631816609932,81.77490345386187,77.01408408744375,71.6247452321627,76.63944207072323,70.82679961749736,64.93104592284824,71.64340432765448,76.49774088300454,84.67853465702557,73.54789709462443,67.68000378320124,69.58165352135512,80.73281567351084,81.13017900279029,78.07519977367856,67.71922324119757,67.61727743423472,70.32445524751351,66.24032173441329,73.37123402378538,84.00974191149231,69.05207272036508,64.83220523289326,80.1501887867801,78.58216476492501,72.64814643894044,74.61055305422778,68.06339392031894,62.634218360040684,74.00011762100023,65.66186867135059,70.58831721369674,61.83248842722645,69.5112570762124,71.7095092472006,82.05381301974195,71.46294007749898,73.49350723209017,86.96773634907083,78.64788312497873,74.05661786710562
249.90436526498718,72.15051946317845,75.51983854722096,72.81470888379361,73.87820243238407,77.24900239920193,71.2398816229395,70.36804812722387,76.93645600371703,86.108968087147,69.79396734251736,79.70001448264522,68.526381120847,78.4464672962964,69.7939539092839,71.95329829577443,71.23042919720254,80.45720820105042,73.31705796307679,70.10580848285731,75.42575343527399,68.20414629671326,71.23027747963894,68.73606584712651,76.62909239616826,72.36635476012975,68.65018895029016,80.91145410148941,72.60890619221159,70.68614280487935,68.93007877769215,71.3244281536181,79.46342966983404,74.15991008359566,72.79821333727027,78.07069418960056,76.67604295640457,76.15349873419117,67.10924872495958,80.40376776265356,68.41538155649103,69.5560405324733,68.85486270526174,73.29779238405764,72.32891308739126,74.65137519364278,65.26624481996288,71.0143761444053,84.64353218820875,80.50707760714889,72.40430223179972
249.9806620173753,76.69490981923501,76.38165554819376,78.44836265625189,73.05205784649975,77.0424776925968,72.0659823091629,78.18785209879209,82.44467154043156,93.1663501207634,73.92505575003386,83.21147923219534,75.1364548199325,80.77004384371611,74.95792927710245,75.8782955969951,73.91597088358836,81.14590134534465,74.86658875293014,76.30216031844436,74.3930174458593,76.98298907301437,77.01413729042562,81.30203362284985,75.59639975040895,74.1738950477031,71.74860128734998,79.36135989549041,73.46962382459076,76.263283658081,71.82187417877685,71.73770116440815,77.74176665429266,74.57311454671046,72.59185022575846,77.81251640198576,73.78434384512357,72.1945567764542,71.06780236281962,75.44638250325053,72.54664324462526,75.23633972716398,74.84564311403226,78.80650883312512,69.4373348302594,74.4789451191201,78.43472436617515,76.59178623605345,85.4182061333941,74.51664039962444,78.39439702161727
