,wavelengths,intensities
86,254.3192509540068,140.45885998244296
87,254.39518539237773,144.59281976727138
88,254.4711135839552,134.25823611976028
89,254.54703552873931,128.0579895064276
90,254.62295122673,139.42539639098342
91,254.6988606779273,150.79407665053373
92,254.77476388233123,175.6029439082907
93,254.8506608399417,165.26516561958823
94,254.9265515507588,124.95800704289267
95,255.00243601478252,122.89140405711483
96,255.07831423201281,123.92470035744103
97,255.15418620244972,106.36006751848815
98,255.2300519260932,100.16149259688115
99,255.3059114029433,99.12843235489474
100,255.38176463300002,104.29383514450973
101,255.4576116162633,119.79157736933576
102,255.5334523527332,118.75832251167589
103,255.6092868424097,120.82484257287395
104,255.6851150852928,124.95800704289267
105,255.7609370813825,104.29383514450973
106,255.83675283067882,146.65986303263725
107,255.9125623331817,129.09133782852726
108,255.9883655888912,109.45949269627282
109,256.06416259780735,148.7269486379331
110,256.13995335993,204.55449013950607
111,256.21573787525926,182.84003094080165
112,256.2915161437952,136.32506872687003
113,256.3672881655377,127.02465160779947
114,256.4430539404868,117.72507798994127
115,256.5188134686425,127.02465160779947
116,256.5945667500048,132.19144542983838
117,256.6703137845737,134.25823611976028
118,256.74605457234924,122.89140405711483
119,256.8217891133313,118.75832251167589
120,256.89751740752,140.45885998244296
121,256.9732394549153,147.69340053856249
122,257.04895525551717,137.35850077211427
123,257.1246648093257,135.29164717910402
124,257.2003681163408,134.25823611976028
125,257.2760651765625,131.15806578087032
126,257.3517559899908,142.5258187735836
127,257.4274405566257,154.92846016277676
128,257.5031188764672,179.7383572551033
129,257.57879094951534,152.8612471369392
130,257.65445677577003,151.82765658038875
131,257.7301163552313,117.72507798994127
132,257.8057696878992,105.32694623082203
133,257.8814167737737,125.99132412314063
134,257.9570576128548,121.85811813218699
135,258.0326922051425,129.09133782852726
136,258.1083205506368,155.96208264825304
137,258.1839426493377,138.39194332383707
138,258.25955850124524,115.65861991415207
139,258.33516810635933,132.19144542983838
140,258.41077146468,159.06301409090722
141,258.48636857620727,222.1364041379582
142,258.56195944094117,156.99571579280328
143,258.6375440588817,134.25823611976028
144,258.7131224300288,119.79157736933576
145,258.7886945543825,104.29383514450973
146,258.8642604319428,114.62540633990771
147,258.9398200627097,116.69184379412216
148,259.0153734466832,130.12469658354473
149,259.09092058386335,163.1977389425724
150,259.16646147425,161.13035512011086
151,259.2419961178433,172.50149733357895
152,259.3175245146432,149.7605073391436
153,259.3930466646497,136.32506872687003
154,259.4685625678628,116.69184379412216
155,259.5440722242825,142.5258187735836
156,259.6195756339088,156.99571579280328
157,259.6950727967417,249.03258054835428
158,259.7705637127812,353.58583008088544
159,259.84604838202733,413.6782336981679
160,259.92152680448004,212.827935316611
161,259.99699898013927,167.3326352115949
162,260.0724649090052,129.09133782852726
163,260.1479245910777,109.45949269627282
164,260.2233780263568,138.39194332383707
165,260.2988252148425,139.42539639098342
166,260.3742661565348,137.35850077211427
167,260.4497008514337,173.5353020690747
168,260.52512929953923,199.38394378672425
169,260.60055150085134,247.99797306079358
170,260.67596745537,188.00970414177175
171,260.7513771630953,146.65986303263725
172,260.8267806240272,149.7605073391436
173,260.9021778381657,152.8612471369392
174,260.9775688055108,167.3326352115949
175,261.0529535260625,267.657427830291
176,261.12833199982083,215.93065891411237
177,261.2037042267857,183.87394385768823
178,261.2790702069572,195.24770379264908
179,261.3544299403353,154.92846016277676
180,261.42978342692004,136.32506872687003
181,261.5051306667113,140.45885998244296
182,261.5804716597092,138.39194332383707
183,261.6558064059137,169.4001477781714
184,261.7311349053248,144.59281976727138
185,261.80645715794253,137.35850077211427
186,261.8817731637668,122.89140405711483
187,261.9570829227977,133.22483553972745
188,262.0323864350352,146.65986303263725
189,262.10768370047936,148.7269486379331
190,262.18297471913,133.22483553972745
191,262.2582594909873,132.19144542983838
192,262.3335380160512,136.32506872687003
193,262.4088102943217,197.31580191798224
194,262.4840763257988,233.51463870956104
195,262.5593361104825,165.26516561958823
196,262.6345896483728,147.69340053856249
197,262.7098369394697,206.6227854714301
198,262.78507798377325,167.3326352115949
199,262.8603127812833,165.26516561958823
200,262.935541332,225.2394260236794
201,263.0107636359233,364.9797623462913
202,263.0859796930532,265.5878211365257
203,263.1611895033897,175.6029439082907
204,263.2363930669328,158.0293596043864
205,263.3115903836825,134.25823611976028
206,263.38678145363883,139.42539639098342
207,263.4619662768017,135.29164717910402
208,263.53714485317124,139.42539639098342
209,263.61231718274735,132.19144542983838
210,263.68748326553,136.32506872687003
211,263.7626431015193,117.72507798994127
212,263.8377966907152,134.25823611976028
213,263.9129440331177,111.52582734944292
214,263.9880851287268,138.39194332383707
215,264.06321997754253,129.09133782852726
216,264.1383485795648,135.29164717910402
217,264.21347093479375,130.12469658354473
218,264.2885870432292,115.65861991415207
219,264.36369690487135,128.0579895064276
220,264.43880051972,120.82484257287395
221,264.5138978877753,134.25823611976028
222,264.58898900903716,144.59281976727138
223,264.6640738835057,139.42539639098342
224,264.7391525111808,139.42539639098342
225,264.8142248920625,132.19144542983838
226,264.88929102615083,128.0579895064276
227,264.96435091344574,119.79157736933576
228,265.03940455394724,133.22483553972745
229,265.1144519476553,137.35850077211427
230,265.18949309457,128.0579895064276
231,265.26452799469126,137.35850077211427
232,265.3395566480192,121.85811813218699
233,265.4145790545537,122.89140405711483
234,265.4895952142948,144.59281976727138
235,265.5646051272425,140.45885998244296
236,265.6396087933968,125.99132412314063
237,265.7146062127577,133.22483553972745
238,265.78959738532524,129.09133782852726
239,265.86458231109935,120.82484257287395
240,265.93956099008005,140.45885998244296
241,266.0145334222673,154.92846016277676
242,266.0894996076612,141.49233410704997
243,266.1644595462617,146.65986303263725
244,266.2394132380688,123.92470035744103
245,266.3143606830825,147.69340053856249
246,266.3893018813028,173.5353020690747
247,266.46423683272974,149.7605073391436
248,266.5391655373632,141.49233410704997
249,266.6140879952033,138.39194332383707
250,266.68900420625005,130.12469658354473
251,266.7639141705033,136.32506872687003
252,266.8388178879632,123.92470035744103
253,266.9137153586297,125.99132412314063
254,266.9886065825028,129.09133782852726
255,267.06349155958253,128.0579895064276
256,267.1383702898688,120.82484257287395
257,267.21324277336174,129.09133782852726
258,267.28810901006125,119.79157736933576
259,267.36296899996734,139.42539639098342
260,267.43782274308006,142.5258187735836
261,267.5126702393993,132.19144542983838
262,267.5875114889252,139.42539639098342
263,267.6623464916577,122.89140405711483
264,267.7371752475968,124.95800704289267
265,267.8119977567425,120.82484257287395
266,267.8868140190948,123.92470035744103
267,267.9616240346537,135.29164717910402
268,268.0364278034192,123.92470035744103
269,268.11122532539133,138.39194332383707
270,268.18601660057004,138.39194332383707
271,268.2608016289553,148.7269486379331
272,268.3355804105472,144.59281976727138
273,268.4103529453457,156.99571579280328
274,268.4851192333508,128.0579895064276
275,268.5598792745625,134.25823611976028
276,268.6346330689808,149.7605073391436
277,268.7093806166057,136.32506872687003
278,268.78412191743723,149.7605073391436
279,268.85885697147535,152.8612471369392
280,268.93358577872004,138.39194332383707
281,269.00830833917126,138.39194332383707
282,269.0830246528292,153.89484832836126
283,269.1577347196937,163.1977389425724
284,269.2324385397648,145.62633611170824
285,269.30713611304253,121.85811813218699
286,269.38182743952683,133.22483553972745
287,269.4565125192177,135.29164717910402
288,269.53119135211523,130.12469658354473
289,269.60586393821933,151.82765658038875
290,269.68053027753,144.59281976727138
291,269.7551903700473,143.55931399076778
292,269.8298442157712,128.0579895064276
293,269.9044918147017,133.22483553972745
294,269.9791331668388,140.45885998244296
295,270.0537682721825,153.89484832836126
296,270.1283971307328,136.32506872687003
297,270.20301974248974,130.12469658354473
298,270.27763610745325,149.7605073391436
299,270.35224622562333,160.09667926021646
300,270.42685009700006,147.69340053856249
301,270.5014477215833,153.89484832836126
302,270.5760390993732,138.39194332383707
303,270.6506242303697,136.32506872687003
304,270.7252031145728,147.69340053856249
305,270.7997757519825,142.5258187735836
306,270.87434214259883,144.59281976727138
307,270.94890228642174,165.26516561958823
308,271.02345618345123,142.5258187735836
309,271.09800383368736,139.42539639098342
310,271.17254523713,152.8612471369392
311,271.2470803937793,148.7269486379331
312,271.32160930363517,169.4001477781714
313,271.3961319666977,174.56911759162938
314,271.47064838296683,136.32506872687003
315,271.5451585524425,159.06301409090722
316,271.6196624751248,133.22483553972745
317,271.6941601510137,145.62633611170824
318,271.76865158010924,155.96208264825304
319,271.84313676241135,152.8612471369392
320,271.91761569792004,148.7269486379331
321,271.99208838663526,146.65986303263725
322,272.0665548285572,158.0293596043864
323,272.14101502368567,148.7269486379331
324,272.2154689720208,132.19144542983838
325,272.2899166735625,140.45885998244296
326,272.3643581283108,162.16404167833318
327,272.43879333626575,153.89484832836126
328,272.5132222974272,144.59281976727138
329,272.5876450117953,169.4001477781714
330,272.66206147937004,201.45212944543312
331,272.7364717001513,166.29889504747393
332,272.8108756741392,163.1977389425724
333,272.8852734013337,147.69340053856249
334,272.9596648817348,175.6029439082907
335,273.0340501153425,161.13035512011086
336,273.10842910215683,136.32506872687003
337,273.1828018421777,162.16404167833318
338,273.2571683354052,164.2314469204636
339,273.33152858183934,144.59281976727138
340,273.40588258148006,143.55931399076778
341,273.4802303343273,174.56911759162938
342,273.5545718403812,177.67062895185924
343,273.6289070996417,207.6569496146142
344,273.7032361121088,191.11163858185125
345,273.7775588777825,244.89421756196066
346,273.8518753966628,383.62731531469075
347,273.9261856687497,289.3910110496994
348,274.0004896940432,213.86216549085003
349,274.07478747254333,197.31580191798224
350,274.14907900425004,246.96337673618078
351,274.22336428916327,275.9363035716526
352,274.2976433272832,224.2050743253461
353,274.3719161186097,202.4862387103495
354,274.4461826631428,241.7905624349778
355,274.5204429608825,367.05153277953076
356,274.5946970118288,423.0062882588129
357,274.6689448159817,314.2354730388097
358,274.74318637334125,328.73107702153595
359,274.81742168390736,443.7385129941445
360,274.89165074768005,404.35108092254325
361,274.96587356465926,250.06719920226192
362,275.0400901348452,196.28174739033162
363,275.1143004582377,229.3769436196845
364,275.1885045348368,201.45212944543312
365,275.2627023646425,247.99797306079358
366,275.3368939476548,214.89640668834062
367,275.41107928387373,310.0942782190351
368,275.48525837329925,434.4084645144546
369,275.55943121593134,295.6015177321945
370,275.63359781177,203.52035893984427
371,275.7077581608153,174.56911759162938
372,275.78191226306717,152.8612471369392
373,275.8560601185257,148.7269486379331
374,275.9302017271908,148.7269486379331
375,276.0043370890625,156.99571579280328
376,276.0784662041408,169.4001477781714
377,276.1525890724257,173.5353020690747
378,276.2267056939172,171.46770337804128
379,276.30081606861535,145.62633611170824
380,276.37492019652,171.46770337804128
381,276.4490180776313,178.70448769259716
382,276.5231097119492,186.9757477653335
383,276.5971950994737,200.4180311394551
384,276.6712742402048,244.89421756196066
