Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe II     ,         305.53503  ,         305.535094 
Fe II     ,         305.5486   ,         305.54830  
Fe II     ,         305.6802   ,         305.680147 
Fe I      ,         305.74456  ,         305.744545 
          ,                    ,                    
Fe II     ,         305.8363   ,         305.835380 
Fe II     ,         305.8715   ,         305.872231 
Fe I      ,         305.90856  ,         305.908538 
Fe II     ,         305.9865   ,         305.986742 
Fe I      ,         306.05376  ,         306.053751 
          ,                    ,                    
Fe II     ,         306.1271   ,         306.12791  
Fe II     ,         306.2103   ,         306.209991 
Fe II     ,         306.22353  ,         306.22358  
Fe II     ,         306.5211   ,         306.520676 
Fe II     ,         306.53149  ,         306.531541 
          ,                    ,                    
Fe I      ,         306.64787  ,         306.647863 
Fe I      ,         306.69968  ,         306.69987  
Fe XXV    ,                    ,         306.7      
Fe I      ,         306.71181  ,         306.711840 
Fe I      ,         306.72437  ,         306.724366 
          ,                    ,                    
Fe I      ,         306.81733  ,         306.817338 
Fe II     ,         306.9939   ,         306.993599 
Fe II     ,         307.11248  ,         307.112537 
Fe II     ,         307.1277   ,         307.128360 
Fe II     ,         307.1679   ,         307.166703 
          ,                    ,                    
Fe II     ,         307.1727   ,         307.173140 
Fe I      ,         307.39783  ,         307.397850 
Fe II     ,         307.5050   ,         307.504823 
Fe I      ,         307.57194  ,         307.571940 
Fe II     ,         307.64351  ,         307.643517 
          ,                    ,                    
Fe II     ,         307.71688  ,         307.716888 
Fe II     ,         307.8326   ,         307.831611 
Fe I      ,         307.84320  ,         307.84316  
Fe II     ,         307.868001 ,         307.867997 
Fe I      ,         307.99883  ,         307.99892  
          ,                    ,                    
Fe I      ,         308.37407  ,         308.374072 
Fe II     ,         308.9283   ,         308.928385 
Fe II     ,         308.9391   ,         308.93881  
Fe I      ,         309.02046  ,         309.020492 
Fe I      ,         309.15763  ,         309.157641 
          ,                    ,                    
Fe I      ,         309.38049  ,         309.380486 
Fe I      ,         309.52667  ,         309.526657 
Fe II     ,         309.62938  ,         309.629382 
Fe I      ,         309.81891  ,         309.81885  
Fe II     ,         309.8351   ,         309.835238 
          ,                    ,                    
Fe II     ,         309.8466   ,         309.846915 
Fe I      ,         309.98943  ,         309.989442 
Fe I      ,         309.99679  ,         309.996786 
Fe I      ,         310.03033  ,         310.030329 
Fe I      ,         310.06647  ,         310.066467 
          ,                    ,                    
Fe I      ,         310.08360  ,         310.083615 
Fe I      ,         310.10022  ,         310.100208 
Fe II     ,         310.2713   ,         310.271470 
Fe II     ,         310.51675  ,         310.516732 
Fe II     ,         310.55540  ,         310.555294 
          ,                    ,                    
Fe II     ,         310.65649  ,         310.656374 
Fe I      ,         311.20770  ,         311.207742 
Fe II     ,         311.42954  ,         311.429570 
Fe II     ,         311.46833  ,         311.468360 
Fe II     ,         311.5615   ,         311.560948 
          ,                    ,                    
Fe II     ,         311.65802  ,         311.657962 
Fe I      ,         311.66313  ,         311.663143 
Fe II     ,         311.7475   ,         311.747574 
Fe II     ,         311.8298   ,         311.829074 
Fe II     ,         311.8858   ,         311.886697 
          ,                    ,                    
Fe I      ,         311.94947  ,         311.949482 
Fe I      ,         312.04351  ,         312.043525 
Fe II     ,         312.3725   ,         312.372607 
Fe I      ,         312.56503  ,         312.565054 
Fe I      ,         312.56823  ,         312.568240 
          ,                    ,                    
Fe II     ,         312.5863   ,         312.586556 
Fe II     ,         312.6275   ,         312.627349 
Fe II     ,         313.1105   ,         313.11041  
Fe I      ,         313.25177  ,         313.251786 
Fe II     ,         313.3048   ,         313.305070 
          ,                    ,                    
Fe II     ,         313.4228   ,         313.422499 
Fe II     ,         313.536222 ,         313.536222 
Fe II     ,         313.6761   ,         313.67490  
Fe II     ,         313.72361  ,         313.723885 
Fe II     ,         313.81805  ,         313.818056 
          ,                    ,                    
Fe II     ,         314.06457  ,         314.064544 
Fe I      ,         314.24537  ,         314.245232 
Fe I      ,         314.28887  ,         314.288870 
Fe I      ,         314.39903  ,         314.399022 
Fe II     ,         314.4271   ,         314.427423 
          ,                    ,                    
Fe II     ,         314.47532  ,         314.475384 
Fe I      ,         314.50568  ,         314.50572  
Fe II     ,         314.5280   ,         314.527588 
Fe II     ,         314.5699   ,         314.569523 
Fe I      ,         314.77946  ,         314.779524 
          ,                    ,                    
Fe II     ,         315.18287  ,         315.182908 
Fe II     ,         315.2110   ,         315.211122 
Fe II     ,         315.2620   ,         315.261859 
Fe I      ,         315.31995  ,         315.319962 
Fe I      ,         315.33134  ,         315.331421 
          ,                    ,                    
Fe II     ,         315.420110 ,         315.420101 
Fe I      ,         315.44964  ,         315.449611 
Fe II     ,         315.5952   ,         315.59622  
Fe I      ,         315.62736  ,         315.627342 
Fe I      ,         315.70359  ,         315.703585 
          ,                    ,                    
Fe I      ,         315.71430  ,         315.714423 
Fe I      ,         315.78848  ,         315.788474 
Fe I      ,         315.79871  ,         315.798709 
Fe I      ,         316.06572  ,         316.065717 
Fe I      ,         316.13708  ,         316.137083 
          ,                    ,                    
Fe II     ,         316.1700   ,         316.17002  
Fe I      ,         316.19461  ,         316.194619 
Fe II     ,         316.28006  ,         316.280099 
Fe I      ,         316.58575  ,         316.585758 
Fe II     ,         316.6401   ,         316.640108 
          ,                    ,                    
Fe I      ,         316.64353  ,         316.643508 
Fe II     ,         316.785483 ,         316.785477 
Fe I      ,         316.88539  ,         316.885375 
Fe I      ,         317.13511  ,         317.135108 
Fe I      ,         317.16621  ,         317.166259 
          ,                    ,                    
Fe II     ,         317.5070   ,         317.50699  
Fe I      ,         317.54445  ,         317.544444 
Fe I      ,         317.63591  ,         317.636027 
Fe II     ,         317.753379 ,         317.753376 
Fe I      ,         317.80126  ,         317.801268 
          ,                    ,                    
Fe II     ,         317.95051  ,         317.95045  
Fe II     ,         318.0154   ,         318.01487  
Fe I      ,         318.02231  ,         318.022325 
Fe II     ,         318.1168   ,         318.117059 
Fe I      ,         318.15192  ,         318.151907 
          ,                    ,                    
Fe I      ,         318.19112  ,         318.191209 
Fe I      ,         318.20553  ,         318.205560 
Fe I      ,         318.2973   ,         318.297810 
Fe II     ,         318.6668   ,         318.66618  
Fe II     ,         318.67371  ,         318.673721 
          ,                    ,                    
Fe II     ,         318.72992  ,         318.729912 
Fe II     ,         318.7478   ,         318.747643 
Fe I      ,         318.85673  ,         318.856763 
Fe I      ,         318.88188  ,         318.881875 
Fe II     ,         318.9158   ,         318.915761 
          ,                    ,                    
Fe I      ,         319.06493  ,         319.064942 
Fe I      ,         319.08165  ,         319.08166  
Fe I      ,         319.11114  ,         319.111100 
Fe I      ,         319.28002  ,         319.280021 
Fe II     ,         319.29103  ,         319.291019 
          ,                    ,                    
Fe I      ,         319.32996  ,         319.329965 
Fe II     ,         319.38006  ,         319.380057 
Fe II     ,         319.38568  ,         319.385727 
Fe I      ,         319.44236  ,         319.442383 
Fe II     ,         319.60712  ,         319.607143 
          ,                    ,                    
Fe I      ,         319.61224  ,         319.612206 
Fe I      ,         319.69272  ,         319.692708 
Fe I      ,         319.95302  ,         319.953020 
Fe II     ,         319.9842   ,         319.98328  
Fe I      ,         320.25556  ,         320.255569 
          ,                    ,                    
Fe II     ,         320.3831   ,         320.38246  
Fe I      ,         320.53978  ,         320.539789 
Fe I      ,         320.70750  ,         320.707509 
Fe II     ,         321.0048   ,         321.004046 
Fe I      ,         321.02289  ,         321.022879 
          ,                    ,                    
Fe II     ,         321.04454  ,         321.044527 
Fe I      ,         321.08290  ,         321.082878 
Fe I      ,         321.16073  ,         321.160675 
Fe I      ,         321.19871  ,         321.198577 
Fe II     ,         321.3055   ,         321.305427 
          ,                    ,                    
Fe II     ,         321.330896 ,         321.330891 
Fe I      ,         321.3756   ,         321.37573  
Fe I      ,         321.4012   ,         321.401115 
Fe I      ,         321.40614  ,         321.406168 
Fe II     ,         321.45728  ,         321.457337 
          ,                    ,                    
Fe I      ,         321.59378  ,         321.593780 
Fe I      ,         321.73770  ,         321.737689 
Fe II     ,         321.8000   ,         321.799561 
Fe I      ,         321.95819  ,         321.958202 
Fe I      ,         321.98043  ,         321.980425 
          ,                    ,                    
Fe I      ,         322.19160  ,         322.191603 
Fe I      ,         322.20669  ,         322.206713 
Fe II     ,         322.2927   ,         322.29237  
Fe II     ,         322.3190   ,         322.317954 
Fe II     ,         322.3409   ,         322.34005  
          ,                    ,                    
Fe II     ,         322.4548   ,         322.454567 
Fe I      ,         322.57870  ,         322.578709 
Fe II     ,         322.6383   ,         322.637948 
Fe I      ,         322.70609  ,         322.706042 
Fe II     ,         322.774324 ,         322.774314 
          ,                    ,                    
Fe I      ,         322.77953  ,         322.779521 
Fe I      ,         322.82487  ,         322.824874 
Fe I      ,         322.85973  ,         322.85974  
Fe I      ,         322.99906  ,         322.999065 
Fe I      ,         323.01561  ,         323.015618 
          ,                    ,                    
Fe I      ,         323.02070  ,         323.020722 
Fe I      ,         323.09634  ,         323.096349 
Fe II     ,         323.1706   ,         323.170736 
Fe II     ,         323.2320   ,         323.232211 
Fe II     ,         323.27901  ,         323.278974 
          ,                    ,                    
Fe I      ,         323.30516  ,         323.30516  
Fe I      ,         323.39672  ,         323.396736 
Fe II     ,         323.68344  ,         323.683552 
Fe II     ,         323.7398   ,         323.740140 
Fe II     ,         323.78204  ,         323.782057 
          ,                    ,                    
Fe I      ,         323.94327  ,         323.943258 
Fe I      ,         323.94571  ,         323.945683 
Fe II     ,         324.37255  ,         324.372518 
Fe I      ,         324.41874  ,         324.418738 
Fe II     ,         324.5749   ,         324.574745 
          ,                    ,                    
Fe I      ,         324.64800  ,         324.648045 
Fe I      ,         324.69604  ,         324.696065 
Fe II     ,         324.71769  ,         324.717701 
Fe I      ,         324.72098  ,         324.720998 
Fe I      ,         324.82040  ,         324.820399 
          ,                    ,                    
Fe I      ,         325.06232  ,         325.062303 
Fe I      ,         325.07587  ,         325.07589  
Fe I      ,         325.29142  ,         325.291431 
Fe I      ,         325.35988  ,         325.35991  
Fe I      ,         325.43617  ,         325.43618  
          ,                    ,                    
Fe I      ,         325.72343  ,         325.72348  
Fe I      ,         325.75924  ,         325.759256 
Fe II     ,         325.87730  ,         325.877307 
Fe II     ,         325.90514  ,         325.905153 
Fe I      ,         325.99892  ,         325.998925 
          ,                    ,                    
Fe I      ,         326.45120  ,         326.451229 
Fe I      ,         326.56163  ,         326.561634 
Fe I      ,         326.82327  ,         326.823298 
Fe I      ,         327.09997  ,         327.099980 
Fe I      ,         327.14845  ,         327.148471 
          ,                    ,                    
Fe I      ,         327.64702  ,         327.646997 
Fe II     ,         327.66018  ,         327.66018  
Fe I      ,         328.02602  ,         328.02599  
Fe I      ,         328.28901  ,         328.28904  
Fe I      ,         328.45872  ,         328.458713 
          ,                    ,                    
Fe I      ,         328.67528  ,         328.675278 
Fe I      ,         328.89651  ,         328.896566 
Fe II     ,         328.93540  ,         328.935381 
Fe I      ,         329.09881  ,         329.098811 
Fe I      ,         329.20206  ,         329.202060 
          ,                    ,                    
Fe I      ,         329.25893  ,         329.258930 
Fe II     ,         329.7877   ,         329.78790  
Fe I      ,         329.8132   ,         329.813198 
Fe II     ,         330.0090   ,         330.008860 
Fe I      ,         330.35687  ,         330.356867 
          ,                    ,                    
Fe I      ,         330.59705  ,         330.597065 
Fe I      ,         330.63393  ,         330.63420  
Fe I      ,         330.63545  ,         330.635695 
Fe I      ,         330.72334  ,         330.72333  
Fe I      ,         331.03410  ,         331.03412  
          ,                    ,                    
Fe I      ,         331.04905  ,         331.049027 
Fe II     ,         331.3090   ,         331.30902  
Fe I      ,         331.47411  ,         331.474131 
Fe I      ,         331.71207  ,         331.712093 
Fe I      ,         331.92529  ,         331.925278 
          ,                    ,                    
Fe I      ,         332.24727  ,         332.247325 
Fe II     ,         332.30628  ,         332.306236 
Fe I      ,         332.37362  ,         332.373598 
Fe I      ,         332.45364  ,         332.453603 
Fe I      ,         332.54644  ,         332.546445 
          ,                    ,                    
Fe I      ,         332.88657  ,         332.886592 
Fe I      ,         333.16109  ,         333.161103 
Fe I      ,         333.57682  ,         333.576869 
Fe I      ,         333.62565  ,         333.625685 
Fe I      ,         333.76649  ,         333.766481 
          ,                    ,                    
Fe I      ,         333.91944  ,         333.919385 
Fe II     ,         333.9688   ,         333.969060 
Fe I      ,         334.05641  ,         334.056432 
Fe I      ,         334.19057  ,         334.190564 
Fe I      ,         334.22916  ,         334.229201 
          ,                    ,                    
Fe I      ,         334.79253  ,         334.792527 
Fe I      ,         335.15216  ,         335.152140 
Fe I      ,         335.17438  ,         335.174378 
Fe I      ,         335.40591  ,         335.40591  
Fe I      ,         335.52275  ,         335.52276  
          ,                    ,                    
Fe I      ,         335.64012  ,         335.640078 
Fe II     ,         336.6960   ,         336.69652  
Fe II     ,         336.7399   ,         336.73963  
Fe I      ,         336.95471  ,         336.95471  
Fe I      ,         337.07832  ,         337.078304 
          ,                    ,                    
Fe I      ,         337.20736  ,         337.207344 
Fe I      ,         337.90177  ,         337.901774 
Fe I      ,         338.01098  ,         338.010987 
Fe II     ,         338.1003   ,         338.09996  
Fe I      ,         338.13337  ,         338.13335  
          ,                    ,                    
Fe I      ,         338.36914  ,         338.369144 
Fe I      ,         338.39788  ,         338.397871 
Fe I      ,         339.2305   ,         339.230502 
Fe I      ,         339.26521  ,         339.265213 
Fe I      ,         339.45829  ,         339.458304 
          ,                    ,                    
Fe I      ,         339.93329  ,         339.933299 
Fe I      ,         340.2256   ,         340.22556  
Fe I      ,         340.32898  ,         340.32895  
Fe I      ,         340.43537  ,         340.435382 
Fe I      ,         340.64364  ,         340.64368  
          ,                    ,                    
Fe I      ,         340.67992  ,         340.679933 
Fe I      ,         340.74594  ,         340.745937 
Fe I      ,         340.75315  ,         340.753196 
Fe I      ,         341.01690  ,         341.01690  
Fe I      ,         341.13529  ,         341.135315 
          ,                    ,                    
Fe I      ,         341.31321  ,         341.313213 
Fe I      ,         341.55310  ,         341.553111 
Fe I      ,         341.78403  ,         341.784044 
Fe I      ,         341.85069  ,         341.85070  
Fe I      ,         342.26557  ,         342.265573 
          ,                    ,                    
Fe I      ,         342.42842  ,         342.428418 
Fe I      ,         342.5010   ,         342.50100  
Fe I      ,         342.63241  ,         342.632491 
Fe I      ,         342.66278  ,         342.662792 
Fe I      ,         342.66656  ,         342.66657  
          ,                    ,                    
Fe I      ,         342.71193  ,         342.711930 
Fe I      ,         342.81924  ,         342.819254 
Fe I      ,         343.18114  ,         343.181152 
Fe I      ,         344.06057  ,         344.060547 
Fe I      ,         344.09885  ,         344.098835 
          ,                    ,                    
Fe I      ,         344.23616  ,         344.236163 
Fe I      ,         344.38763  ,         344.387624 
Fe I      ,         344.51489  ,         344.514901 
Fe XXV    ,                    ,         344.7      
Fe I      ,         344.72779  ,         344.727782 
          ,                    ,                    
Fe I      ,         345.03279  ,         345.032799 
Fe I      ,         345.16132  ,         345.161340 
Fe I      ,         345.19142  ,         345.191434 
Fe I      ,         345.83031  ,         345.83031  
Fe I      ,         345.94262  ,         345.94261  
          ,                    ,                    
Fe I      ,         345.99138  ,         345.99141  
Fe I      ,         346.58604  ,         346.586035 
Fe II     ,         346.86792  ,         346.868096 
Fe I      ,         346.88442  ,         346.884432 
Fe I      ,         346.90117  ,         346.90120  
          ,                    ,                    
Fe I      ,         346.98303  ,         346.983029 
Fe I      ,         347.12654  ,         347.126539 
Fe I      ,         347.13429  ,         347.134301 
Fe I      ,         347.54500  ,         347.544997 
Fe I      ,         347.56514  ,         347.565068 
          ,                    ,                    
Fe I      ,         347.63442  ,         347.63442  
Fe I      ,         347.67016  ,         347.670157 
Fe I      ,         347.68541  ,         347.685393 
Fe I      ,         348.4978   ,         348.497873 
Fe I      ,         348.53400  ,         348.53403  
          ,                    ,                    
Fe I      ,         348.96675  ,         348.96673  
Fe I      ,         349.05738  ,         349.057352 
Fe II     ,         349.34732  ,         349.347267 
Fe I      ,         349.52865  ,         349.528625 
Fe I      ,         349.71031  ,         349.710322 
          ,                    ,                    
Fe I      ,         349.71480  ,         349.714811 
Fe I      ,         349.78403  ,         349.784032 
Fe I      ,         350.05645  ,         350.05647  
Fe I      ,         350.48610  ,         350.486058 
Fe I      ,         350.50583  ,         350.50582  
          ,                    ,                    
Fe I      ,         350.64975  ,         350.649748 
Fe I      ,         350.84743  ,         350.84739  
Fe I      ,         350.85180  ,         350.851796 
Fe I      ,         350.98614  ,         350.98624  
Fe I      ,         351.04388  ,         351.04388  
          ,                    ,                    
Fe I      ,         351.22253  ,         351.222444 
Fe I      ,         351.38177  ,         351.381746 
Fe I      ,         351.64087  ,         351.64086  
Fe I      ,         351.65572  ,         351.655641 
Fe I      ,         351.86826  ,         351.868262 
          ,                    ,                    
Fe I      ,         352.08463  ,         352.08463  
Fe I      ,         352.1261   ,         352.126097 
Fe I      ,         352.18366  ,         352.183719 
Fe I      ,         352.22678  ,         352.226790 
Fe I      ,         352.28973  ,         352.289932 
          ,                    ,                    
Fe I      ,         352.33084  ,         352.33084  
Fe I      ,         352.40739  ,         352.407390 
Fe I      ,         352.42395  ,         352.423938 
Fe I      ,         352.60406  ,         352.604056 
Fe I      ,         352.61656  ,         352.616556 
          ,                    ,                    
Fe I      ,         352.62377  ,         352.623782 
Fe I      ,         352.63811  ,         352.638112 
Fe I      ,         352.64672  ,         352.646707 
Fe I      ,         352.66743  ,         352.667458 
Fe I      ,         352.77926  ,         352.779254 
          ,                    ,                    
Fe I      ,         352.98196  ,         352.98196  
Fe I      ,         353.03865  ,         353.038663 
Fe I      ,         353.30064  ,         353.30064  
Fe I      ,         353.31979  ,         353.319818 
Fe I      ,         353.4525   ,         353.45247  
          ,                    ,                    
Fe I      ,         353.65556  ,         353.655599 
Fe I      ,         353.74918  ,         353.749169 
Fe I      ,         353.77288  ,         353.77287  
Fe I      ,         353.78947  ,         353.789469 
Fe I      ,         354.01209  ,         354.012088 
          ,                    ,                    
Fe I      ,         354.10831  ,         354.108318 
Fe I      ,         354.20754  ,         354.207525 
Fe I      ,         354.36746  ,         354.36751  
Fe I      ,         354.46296  ,         354.462956 
Fe I      ,         354.56397  ,         354.563971 
          ,                    ,                    
Fe I      ,         354.71940  ,         354.71937  
Fe I      ,         355.21058  ,         355.21055  
Fe I      ,         355.28277  ,         355.282821 
Fe I      ,         355.28549  ,         355.28547  
Fe I      ,         355.37383  ,         355.37382  
          ,                    ,                    
Fe I      ,         355.4501   ,         355.450138 
Fe I      ,         355.49243  ,         355.492419 
Fe I      ,         355.66803  ,         355.668045 
Fe I      ,         355.68776  ,         355.687773 
Fe I      ,         355.85148  ,         355.851482 
          ,                    ,                    
Fe I      ,         355.95030  ,         355.95033  
Fe I      ,         356.06965  ,         356.069691 
Fe I      ,         356.53787  ,         356.537873 
Fe I      ,         356.63095  ,         356.63084  
Fe I      ,         356.70309  ,         356.703117 
          ,                    ,                    
Fe I      ,         356.84322  ,         356.843393 
Fe I      ,         356.88231  ,         356.882273 
Fe I      ,         356.89742  ,         356.89741  
Fe I      ,         357.00100  ,         357.000977 
Fe I      ,         357.00975  ,         357.009748 
          ,                    ,                    
Fe I      ,         357.19950  ,         357.199499 
Fe I      ,         357.25903  ,         357.259037 
Fe I      ,         357.33934  ,         357.339362 
Fe I      ,         357.38289  ,         357.38288  
Fe I      ,         357.38884  ,         357.388852 
          ,                    ,                    
Fe I      ,         357.51133  ,         357.511307 
Fe I      ,         357.52449  ,         357.524502 
Fe I      ,         357.53697  ,         357.53696  
Fe I      ,         357.67584  ,         357.675803 
Fe I      ,         357.83822  ,         357.83822  
          ,                    ,                    
Fe I      ,         357.8676   ,         357.867211 
Fe I      ,         358.11928  ,         358.11928  
Fe I      ,         358.16465  ,         358.164658 
Fe I      ,         358.18073  ,         358.180699 
Fe I      ,         358.21996  ,         358.21995  
          ,                    ,                    
Fe I      ,         358.46592  ,         358.46592  
Fe I      ,         358.47855  ,         358.478629 
Fe I      ,         358.49574  ,         358.495740 
Fe I      ,         358.51895  ,         358.51898  
Fe I      ,         358.53187  ,         358.531869 
          ,                    ,                    
Fe I      ,         358.57051  ,         358.570513 
Fe I      ,         358.61124  ,         358.61135  
Fe I      ,         358.6738   ,         358.673845 
Fe I      ,         358.69845  ,         358.698438 
Fe I      ,         358.72390  ,         358.723885 
          ,                    ,                    
Fe I      ,         358.85262  ,         358.852642 
Fe I      ,         358.86090  ,         358.860886 
Fe I      ,         358.89176  ,         358.891728 
Fe I      ,         358.94517  ,         358.945168 
Fe I      ,         359.14838  ,         359.148310 
          ,                    ,                    
Fe I      ,         359.26747  ,         359.267365 
Fe I      ,         359.46320  ,         359.463208 
Fe I      ,         359.53011  ,         359.530148 
Fe I      ,         359.70209  ,         359.702073 
Fe I      ,         359.87170  ,         359.871779 
          ,                    ,                    
Fe I      ,         359.96249  ,         359.96249  
Fe I      ,         360.20825  ,         360.208167 
Fe I      ,         360.24619  ,         360.246200 
Fe I      ,         360.25252  ,         360.252548 
Fe I      ,         360.32033  ,         360.320302 
          ,                    ,                    
Fe I      ,         360.38177  ,         360.38175  
Fe I      ,         360.54525  ,         360.54525  
Fe I      ,         360.55004  ,         360.550035 
Fe I      ,         360.65332  ,         360.653353 
Fe I      ,         360.66791  ,         360.66790  
          ,                    ,                    
Fe I      ,         360.81414  ,         360.814151 
Fe I      ,         360.88591  ,         360.885895 
Fe I      ,         361.01588  ,         361.015895 
Fe I      ,         361.06944  ,         361.069500 
Fe I      ,         361.20684  ,         361.206836 
          ,                    ,                    
Fe I      ,         361.31445  ,         361.314514 
Fe I      ,         361.3443   ,         361.344160 
Fe I      ,         361.47721  ,         361.477184 
Fe I      ,         361.51909  ,         361.519093 
Fe I      ,         361.77858  ,         361.778596 
          ,                    ,                    
Fe I      ,         361.82987  ,         361.829873 
Fe I      ,         361.8386   ,         361.838582 
Fe I      ,         361.87677  ,         361.876750 
Fe I      ,         362.0240   ,         362.024220 
Fe II     ,         362.1268   ,         362.12644  
          ,                    ,                    
Fe I      ,         362.14604  ,         362.14605  
Fe I      ,         362.17188  ,         362.17188  
Fe I      ,         362.20031  ,         362.200323 
Fe I      ,         362.31858  ,         362.31859  
Fe I      ,         362.34463  ,         362.344616 
          ,                    ,                    
Fe I      ,         362.43077  ,         362.430844 
Fe II     ,         362.4890   ,         362.48852  
Fe I      ,         362.51415  ,         362.514143 
Fe I      ,         362.70560  ,         362.70565  
Fe I      ,         363.03475  ,         363.034738 
          ,                    ,                    
Fe I      ,         363.10968  ,         363.109689 
Fe I      ,         363.14629  ,         363.146292 
Fe I      ,         363.20386  ,         363.20384  
Fe I      ,         363.25551  ,         363.255538 
Fe I      ,         363.29767  ,         363.29766  
          ,                    ,                    
Fe I      ,         363.30688  ,         363.306866 
Fe I      ,         363.38266  ,         363.38264  
Fe I      ,         363.43275  ,         363.432842 
Fe I      ,         363.62233  ,         363.62236  
Fe I      ,         363.66488  ,         363.664896 
          ,                    ,                    
Fe I      ,         363.69939  ,         363.699388 
Fe I      ,         363.78673  ,         363.786514 
Fe I      ,         363.82962  ,         363.82962  
Fe I      ,         364.03883  ,         364.038810 
Fe I      ,         364.37151  ,         364.37150  
          ,                    ,                    
Fe I      ,         364.47949  ,         364.479460 
Fe I      ,         364.50745  ,         364.507488 
Fe I      ,         364.58199  ,         364.58200  
Fe I      ,         364.74236  ,         364.74237  
Fe I      ,         364.7843   ,         364.784225 
          ,                    ,                    
Fe I      ,         364.93329  ,         364.933514 
Fe I      ,         364.95061  ,         364.950594 
Fe I      ,         365.00294  ,         365.002947 
Fe I      ,         365.0279   ,         365.027870 
Fe I      ,         365.14667  ,         365.146668 
          ,                    ,                    
Fe II     ,         365.52380  ,         365.523971 
Fe I      ,         365.54647  ,         365.546479 
Fe II     ,         365.55703  ,         365.55691  
Fe I      ,         365.71327  ,         365.713263 
Fe I      ,         365.78982  ,         365.789779 
          ,                    ,                    
Fe I      ,         365.95166  ,         365.951641 
Fe II     ,         366.07888  ,         366.07888  
Fe I      ,         366.32589  ,         366.32615  
Fe I      ,         366.34511  ,         366.345189 
Fe I      ,         366.45371  ,         366.453682 
          ,                    ,                    
Fe I      ,         366.6241   ,         366.623984 
Fe II     ,         366.70254  ,         366.70252  
Fe I      ,         366.72529  ,         366.725284 
Fe I      ,         366.8210   ,         366.820959 
Fe I      ,         366.91516  ,         366.915230 
          ,                    ,                    
Fe I      ,         366.95209  ,         366.952079 
Fe I      ,         367.00241  ,         367.002435 
Fe I      ,         367.00881  ,         367.00884  
Fe I      ,         367.08072  ,         367.08069  
Fe I      ,         367.47634  ,         367.476335 
          ,                    ,                    
Fe I      ,         367.63107  ,         367.631068 
Fe I      ,         367.68723  ,         367.687277 
Fe I      ,         367.73059  ,         367.73056  
Fe I      ,         367.76274  ,         367.76277  
Fe I      ,         367.88601  ,         367.886005 
          ,                    ,                    
Fe I      ,         367.99131  ,         367.991309 
Fe I      ,         368.16437  ,         368.164385 
Fe I      ,         368.21673  ,         368.216716 
Fe I      ,         368.2244   ,         368.22445  
Fe I      ,         368.41074  ,         368.410722 
          ,                    ,                    
Fe I      ,         368.41374  ,         368.41374  
Fe I      ,         368.59969  ,         368.599687 
Fe I      ,         368.62577  ,         368.62578  
Fe I      ,         368.70969  ,         368.709642 
Fe I      ,         368.74564  ,         368.745628 
          ,                    ,                    
Fe I      ,         368.76578  ,         368.765787 
Fe I      ,         368.84602  ,         368.846062 
Fe I      ,         368.93687  ,         368.936992 
Fe I      ,         368.94579  ,         368.945775 
Fe I      ,         369.04545  ,         369.04547  
          ,                    ,                    
Fe I      ,         369.07264  ,         369.07268  
Fe I      ,         369.3026   ,         369.30265  
Fe I      ,         369.40058  ,         369.400589 
Fe I      ,         369.5051   ,         369.505245 
Fe I      ,         369.74252  ,         369.742522 
          ,                    ,                    
Fe I      ,         369.86026  ,         369.860275 
Fe I      ,         369.91384  ,         369.913924 
Fe I      ,         370.10860  ,         370.108586 
Fe I      ,         370.20291  ,         370.20292  
Fe I      ,         370.35476  ,         370.354760 
          ,                    ,                    
Fe I      ,         370.36906  ,         370.369071 
Fe I      ,         370.38210  ,         370.382121 
Fe I      ,         370.40138  ,         370.401402 
Fe I      ,         370.44610  ,         370.446079 
Fe I      ,         370.55658  ,         370.556548 
          ,                    ,                    
Fe I      ,         370.79196  ,         370.791945 
Fe I      ,         370.92461  ,         370.924612 
Fe I      ,         371.12224  ,         371.122240 
Fe I      ,         371.14080  ,         371.140799 
Fe I      ,         371.59113  ,         371.591113 
          ,                    ,                    
Fe I      ,         371.64419  ,         371.644188 
Fe I      ,         371.84062  ,         371.840634 
Fe I      ,         371.99345  ,         371.993444 
Fe I      ,         372.13932  ,         372.13932  
Fe I      ,         372.15025  ,         372.150232 
          ,                    ,                    
Fe I      ,         372.25627  ,         372.256272 
Fe I      ,         372.43767  ,         372.437686 
Fe I      ,         372.54906  ,         372.54908  
Fe I      ,         372.69263  ,         372.692610 
Fe I      ,         372.70922  ,         372.709201 
          ,                    ,                    
Fe I      ,         372.76188  ,         372.761872 
Fe I      ,         372.76735  ,         372.767349 
Fe I      ,         372.78089  ,         372.780888 
Fe I      ,         372.86678  ,         372.866759 
Fe I      ,         373.03861  ,         373.038621 
          ,                    ,                    
Fe I      ,         373.04602  ,         373.046110 
Fe I      ,         373.09460  ,         373.09460  
Fe I      ,         373.13734  ,         373.137327 
Fe I      ,         373.23961  ,         373.239610 
Fe I      ,         373.33173  ,         373.331716 
          ,                    ,                    
Fe I      ,         373.48636  ,         373.486354 
Fe I      ,         373.53235  ,         373.532365 
Fe I      ,         373.71313  ,         373.713125 
Fe I      ,         373.83049  ,         373.83049  
Fe I      ,         374.02392  ,         374.023905 
          ,                    ,                    
Fe I      ,         374.26163  ,         374.261655 
Fe I      ,         374.33619  ,         374.336183 
