Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
          ,                    ,                    
Fe II     ,         252.02624  ,         252.026243 
Fe II     ,         252.03982  ,         252.039799 
Fe II     ,         252.05375  ,         252.053717 
Fe II     ,         252.06733  ,         252.067325 
Fe II     ,         252.0766   ,         252.076331 
          ,                    ,                    
Fe II     ,         252.109143 ,         252.109144 
Fe II     ,         252.12163  ,         252.121656 
Fe II     ,         252.13318  ,         252.133147 
Fe II     ,         252.14864  ,         252.14858  
Fe II     ,         252.181511 ,         252.181518 
          ,                    ,                    
Fe I      ,         252.19188  ,         252.191864 
Fe II     ,         252.21971  ,         252.219870 
Fe II     ,         252.24337  ,         252.243462 
Fe I      ,         252.24798  ,         252.247974 
Fe I      ,         252.28493  ,         252.284917 
          ,                    ,                    
Fe II     ,         252.289161 ,         252.289172 
Fe II     ,         252.344146 ,         252.344133 
Fe II     ,         252.41529  ,         252.415261 
Fe I      ,         252.42923  ,         252.429228 
Fe II     ,         252.47539  ,         252.475367 
          ,                    ,                    
Fe II     ,         252.4818   ,         252.481451 
Fe II     ,         252.51099  ,         252.510959 
Fe II     ,         252.53281  ,         252.532873 
Fe II     ,         252.538758 ,         252.538757 
Fe II     ,         252.54782  ,         252.547719 
          ,                    ,                    
Fe II     ,         252.56322  ,         252.563046 
Fe II     ,         252.56993  ,         252.569962 
Fe II     ,         252.58616  ,         252.585887 
Fe II     ,         252.58616  ,         252.586365 
Fe II     ,         252.591870 ,         252.591858 
          ,                    ,                    
Fe II     ,         252.607458 ,         252.607455 
Fe II     ,         252.629363 ,         252.629366 
Fe II     ,         252.6529   ,         252.653308 
Fe II     ,         252.66159  ,         252.661584 
Fe II     ,         252.710433 ,         252.710424 
          ,                    ,                    
Fe II     ,         252.71563  ,         252.715584 
Fe II     ,         252.72657  ,         252.726842 
Fe I      ,         252.72661  ,         252.726548 
Fe I      ,         252.74348  ,         252.743442 
Fe II     ,         252.745493 ,         252.745377 
          ,                    ,                    
Fe II     ,         252.76758  ,         252.767534 
Fe II     ,         252.770477 ,         252.770478 
Fe II     ,         252.8348   ,         252.835234 
Fe II     ,         252.86811  ,         252.868057 
Fe II     ,         252.907709 ,         252.907696 
          ,                    ,                    
Fe I      ,         252.91348  ,         252.913480 
Fe II     ,         252.922808 ,         252.922804 
Fe I      ,         252.93075  ,         252.93077  
Fe II     ,         252.954515 ,         252.954427 
Fe II     ,         252.955919 ,         252.955857 
          ,                    ,                    
Fe I      ,         252.98352  ,         252.983523 
Fe II     ,         252.99308  ,         252.993112 
Fe II     ,         253.0067   ,         253.006637 
Fe II     ,         253.010035 ,         253.010160 
Fe II     ,         253.010921 ,         253.010972 
          ,                    ,                    
Fe II     ,         253.0154   ,         253.015436 
Fe II     ,         253.02876  ,         253.028540 
Fe II     ,         253.03419  ,         253.034099 
Fe II     ,         253.04178  ,         253.041772 
Fe II     ,         253.05700  ,         253.056986 
          ,                    ,                    
Fe II     ,         253.187088 ,         253.187091 
Fe II     ,         253.2050   ,         253.205099 
Fe I      ,         253.28759  ,         253.287593 
Fe I      ,         253.31414  ,         253.314095 
Fe II     ,         253.3511   ,         253.351209 
          ,                    ,                    
Fe II     ,         253.362708 ,         253.362706 
Fe II     ,         253.41640  ,         253.416368 
Fe II     ,         253.441837 ,         253.441838 
Fe II     ,         253.450335 ,         253.450337 
Fe II     ,         253.48889  ,         253.488900 
          ,                    ,                    
Fe II     ,         253.53621  ,         253.53623  
Fe II     ,         253.548528 ,         253.548534 
Fe I      ,         253.56068  ,         253.560682 
Fe II     ,         253.667231 ,         253.667235 
Fe II     ,         253.680452 ,         253.680465 
          ,                    ,                    
Fe II     ,         253.684496 ,         253.684491 
Fe II     ,         253.6990   ,         253.698517 
Fe II     ,         253.71036  ,         253.710515 
Fe II     ,         253.713775 ,         253.713767 
Fe I      ,         253.71745  ,         253.717435 
          ,                    ,                    
Fe I      ,         253.74587  ,         253.745876 
Fe II     ,         253.820421 ,         253.820420 
Fe II     ,         253.820421 ,         253.820491 
Fe II     ,         253.83980  ,         253.839803 
Fe II     ,         253.850014 ,         253.850014 
          ,                    ,                    
Fe II     ,         253.85893  ,         253.858930 
Fe II     ,         253.867869 ,         253.867874 
Fe II     ,         253.873759 ,         253.873744 
Fe II     ,         253.879842 ,         253.879846 
Fe II     ,         253.890920 ,         253.890915 
          ,                    ,                    
Fe II     ,         253.899324 ,         253.899319 
Fe II     ,         253.932760 ,         253.932752 
Fe I      ,         253.93567  ,         253.935655 
Fe II     ,         253.94012  ,         253.940306 
Fe II     ,         253.9535   ,         253.953603 
          ,                    ,                    
Fe II     ,         253.98049  ,         253.980501 
Fe II     ,         253.99089  ,         253.990969 
Fe II     ,         254.0192   ,         254.019000 
Fe II     ,         254.05220  ,         254.05227  
Fe II     ,         254.066102 ,         254.066413 
          ,                    ,                    
Fe I      ,         254.06633  ,         254.066032 
Fe II     ,         254.067636 ,         254.067633 
Fe I      ,         254.09720  ,         254.097186 
Fe II     ,         254.110071 ,         254.110078 
Fe II     ,         254.14052  ,         254.140578 
          ,                    ,                    
Fe II     ,         254.183549 ,         254.183547 
Fe I      ,         254.21011  ,         254.210125 
Fe II     ,         254.23084  ,         254.230549 
Fe II     ,         254.2391   ,         254.240021 
Fe II     ,         254.273581 ,         254.273584 
          ,                    ,                    
Fe II     ,         254.30507  ,         254.305003 
Fe II     ,         254.308010 ,         254.307999 
Fe II     ,         254.337788 ,         254.337770 
Fe II     ,         254.343123 ,         254.343122 
Fe II     ,         254.3693   ,         254.369080 
          ,                    ,                    
Fe II     ,         254.37817  ,         254.378201 
Fe I      ,         254.39224  ,         254.392235 
Fe II     ,         254.44591  ,         254.446136 
Fe I      ,         254.46565  ,         254.465632 
Fe II     ,         254.497252 ,         254.497256 
          ,                    ,                    
Fe II     ,         254.50910  ,         254.509241 
Fe II     ,         254.521954 ,         254.521963 
Fe II     ,         254.53191  ,         254.532071 
Fe II     ,         254.54416  ,         254.544154 
Fe II     ,         254.55290  ,         254.552915 
          ,                    ,                    
Fe II     ,         254.57413  ,         254.574159 
Fe I      ,         254.59783  ,         254.597818 
Fe II     ,         254.644169 ,         254.644158 
Fe II     ,         254.666984 ,         254.666986 
Fe II     ,         254.67979  ,         254.679801 
          ,                    ,                    
Fe II     ,         254.733807 ,         254.733812 
Fe II     ,         254.832493 ,         254.832493 
Fe II     ,         254.858906 ,         254.858901 
Fe II     ,         254.874389 ,         254.874394 
Fe II     ,         254.892229 ,         254.892205 
          ,                    ,                    
Fe II     ,         254.892229 ,         254.892251 
Fe II     ,         254.89723  ,         254.89734  
Fe II     ,         254.908301 ,         254.908306 
Fe II     ,         254.939440 ,         254.939444 
Fe II     ,         254.946132 ,         254.946137 
          ,                    ,                    
Fe II     ,         254.95010  ,         254.950147 
Fe I      ,         254.96132  ,         254.961299 
Fe II     ,         254.965870 ,         254.965741 
Fe II     ,         254.97722  ,         254.977423 
Fe II     ,         254.98745  ,         254.987392 
          ,                    ,                    
Fe II     ,         255.002717 ,         255.002711 
Fe II     ,         255.015122 ,         255.015120 
Fe II     ,         255.05756  ,         255.057458 
Fe II     ,         255.068286 ,         255.068285 
Fe II     ,         255.120417 ,         255.120403 
          ,                    ,                    
Fe II     ,         255.12229  ,         255.12227  
Fe I      ,         255.28305  ,         255.283039 
Fe II     ,         255.37416  ,         255.374149 
Fe II     ,         255.49451  ,         255.494513 
Fe II     ,         255.506716 ,         255.506719 
          ,                    ,                    
Fe II     ,         255.545279 ,         255.545293 
Fe II     ,         255.55878  ,         255.558802 
Fe I      ,         255.63036  ,         255.630372 
Fe II     ,         255.66781  ,         255.667835 
Fe II     ,         255.70820  ,         255.708247 
          ,                    ,                    
Fe II     ,         255.75057  ,         255.750566 
Fe II     ,         255.88227  ,         255.882290 
Fe II     ,         255.92393  ,         255.923931 
Fe II     ,         255.977127 ,         255.977130 
Fe II     ,         255.992513 ,         255.992510 
          ,                    ,                    
Fe II     ,         255.99995  ,         256.000028 
Fe II     ,         256.028216 ,         256.028212 
Fe II     ,         256.05569  ,         256.055608 
Fe I      ,         256.05571  ,         256.055700 
Fe II     ,         256.07131  ,         256.071337 
          ,                    ,                    
Fe II     ,         256.0980   ,         256.097769 
Fe II     ,         256.1587   ,         256.158531 
Fe I      ,         256.18550  ,         256.185473 
Fe II     ,         256.209152 ,         256.209161 
Fe II     ,         256.21449  ,         256.214463 
          ,                    ,                    
Fe II     ,         256.253531 ,         256.253533 
Fe II     ,         256.26222  ,         256.262182 
Fe II     ,         256.3201   ,         256.319545 
Fe I      ,         256.33987  ,         256.339895 
Fe II     ,         256.347523 ,         256.347523 
          ,                    ,                    
Fe II     ,         256.3604   ,         256.360813 
Fe II     ,         256.38439  ,         256.384328 
Fe II     ,         256.44778  ,         256.447830 
Fe I      ,         256.45592  ,         256.455928 
Fe II     ,         256.5305   ,         256.530389 
          ,                    ,                    
Fe II     ,         256.59825  ,         256.598154 
Fe II     ,         256.621960 ,         256.621961 
Fe II     ,         256.64014  ,         256.640131 
Fe II     ,         256.65089  ,         256.650852 
Fe II     ,         256.66244  ,         256.662423 
          ,                    ,                    
Fe II     ,         256.67698  ,         256.677001 
Fe II     ,         256.691235 ,         256.691229 
Fe II     ,         256.7333   ,         256.732421 
Fe II     ,         256.7355   ,         256.735540 
Fe II     ,         256.7416   ,         256.742101 
          ,                    ,                    
Fe II     ,         256.76309  ,         256.763085 
Fe II     ,         256.81250  ,         256.812518 
Fe II     ,         256.83620  ,         256.836213 
Fe II     ,         256.840969 ,         256.840969 
Fe I      ,         256.88646  ,         256.886433 
          ,                    ,                    
Fe II     ,         256.88858  ,         256.888571 
Fe II     ,         256.89842  ,         256.898429 
Fe II     ,         256.95601  ,         256.956190 
Fe I      ,         256.95968  ,         256.959678 
Fe II     ,         256.96744  ,         256.967459 
          ,                    ,                    
Fe I      ,         256.97434  ,         256.974362 
Fe II     ,         256.97798  ,         256.977955 
Fe II     ,         256.99519  ,         256.995133 
Fe II     ,         257.0471   ,         257.046096 
Fe II     ,         257.084897 ,         257.084892 
          ,                    ,                    
Fe II     ,         257.08794  ,         257.087905 
Fe II     ,         257.11724  ,         257.117236 
Fe II     ,         257.14564  ,         257.145591 
Fe II     ,         257.15487  ,         257.154812 
Fe II     ,         257.1664   ,         257.165595 
          ,                    ,                    
Fe II     ,         257.20884  ,         257.208837 
Fe II     ,         257.22218  ,         257.222107 
Fe II     ,         257.24703  ,         257.247029 
Fe I      ,         257.27552  ,         257.275372 
Fe II     ,         257.296764 ,         257.296762 
          ,                    ,                    
Fe II     ,         257.31826  ,         257.318211 
Fe II     ,         257.321162 ,         257.321155 
Fe II     ,         257.36758  ,         257.367602 
Fe II     ,         257.37553  ,         257.375565 
Fe II     ,         257.43070  ,         257.430772 
          ,                    ,                    
Fe II     ,         257.436586 ,         257.436589 
Fe II     ,         257.48793  ,         257.487845 
Fe II     ,         257.64474  ,         257.644664 
Fe I      ,         257.66900  ,         257.669004 
Fe II     ,         257.686372 ,         257.686368 
          ,                    ,                    
Fe II     ,         257.68741  ,         257.687416 
Fe II     ,         257.7503   ,         257.750783 
Fe II     ,         257.77211  ,         257.772291 
Fe II     ,         257.792162 ,         257.792172 
Fe II     ,         257.80246  ,         257.802465 
          ,                    ,                    
Fe II     ,         257.821016 ,         257.821023 
Fe II     ,         257.86272  ,         257.862809 
Fe II     ,         257.87900  ,         257.879140 
Fe II     ,         257.88109  ,         257.880763 
Fe II     ,         257.89846  ,         257.898494 
          ,                    ,                    
Fe II     ,         257.911602 ,         257.911596 
Fe II     ,         257.94121  ,         257.941191 
Fe II     ,         257.98436  ,         257.984234 
Fe II     ,         258.0128   ,         258.012738 
Fe II     ,         258.07210  ,         258.072081 
          ,                    ,                    
Fe II     ,         258.111157 ,         258.111138 
Fe II     ,         258.11645  ,         258.116216 
Fe II     ,         258.17784  ,         258.177834 
Fe II     ,         258.24134  ,         258.241342 
Fe II     ,         258.258297 ,         258.258299 
          ,                    ,                    
Fe II     ,         258.2887   ,         258.288977 
Fe II     ,         258.30537  ,         258.305375 
