wavelengths,intensities
263.9129440331177,884.0
263.9880851287268,877.0
264.06321997754253,883.0
264.1383485795648,888.0
264.21347093479375,889.0
264.2885870432292,874.0
264.36369690487135,887.0
264.43880051972,873.0
264.5138978877753,884.0
264.58898900903716,852.0
264.6640738835057,884.0
264.7391525111808,876.0
264.8142248920625,878.0
264.88929102615083,866.0
264.96435091344574,866.0
265.03940455394724,880.0
265.1144519476553,876.0
265.18949309457,886.0
265.26452799469126,861.0
265.3395566480192,866.0
265.4145790545537,889.0
265.4895952142948,885.0
265.5646051272425,869.0
265.6396087933968,883.0
265.7146062127577,875.0
265.78959738532524,886.0
265.86458231109935,899.0
265.93956099008005,898.0
266.0145334222673,909.0
266.0894996076612,868.0
266.1644595462617,886.0
266.2394132380688,878.0
266.3143606830825,906.0
266.3893018813028,906.0
266.46423683272974,894.0
266.5391655373632,899.0
266.6140879952033,884.0
266.68900420625005,876.0
266.7639141705033,877.0
266.8388178879632,879.0
266.9137153586297,876.0
266.9886065825028,881.0
267.06349155958253,890.0
267.1383702898688,883.0
267.21324277336174,871.0
267.28810901006125,877.0
267.36296899996734,883.0
267.43782274308006,885.0
267.5126702393993,856.0
267.5875114889252,886.0
267.6623464916577,884.0
267.7371752475968,878.0
267.8119977567425,871.0
267.8868140190948,862.0
267.9616240346537,882.0
268.0364278034192,868.0
268.11122532539133,885.0
268.18601660057004,871.0
268.2608016289553,894.0
268.3355804105472,905.0
268.4103529453457,890.0
268.4851192333508,881.0
268.5598792745625,887.0
268.6346330689808,894.0
268.7093806166057,872.0
268.78412191743723,893.0
268.85885697147535,879.0
268.93358577872004,895.0
269.00830833917126,876.0
269.0830246528292,902.0
269.1577347196937,919.0
269.2324385397648,885.0
269.30713611304253,888.0
269.38182743952683,898.0
269.4565125192177,882.0
269.53119135211523,861.0
269.60586393821933,892.0
269.68053027753,880.0
269.7551903700473,892.0
269.8298442157712,873.0
269.9044918147017,889.0
269.9791331668388,886.0
270.0537682721825,891.0
270.1283971307328,872.0
270.20301974248974,898.0
270.27763610745325,900.0
270.35224622562333,901.0
270.42685009700006,891.0
270.5014477215833,893.0
270.5760390993732,887.0
270.6506242303697,875.0
270.7252031145728,894.0
270.7997757519825,870.0
270.87434214259883,894.0
270.94890228642174,891.0
271.02345618345123,900.0
271.09800383368736,890.0
271.17254523713,908.0
271.2470803937793,911.0
271.32160930363517,924.0
271.3961319666977,907.0
271.47064838296683,909.0
271.5451585524425,902.0
271.6196624751248,897.0
271.6941601510137,891.0
271.76865158010924,918.0
271.84313676241135,931.0
271.91761569792004,897.0
271.99208838663526,916.0
272.0665548285572,901.0
272.14101502368567,907.0
272.2154689720208,894.0
272.2899166735625,904.0
272.3643581283108,905.0
272.43879333626575,904.0
272.5132222974272,906.0
272.5876450117953,949.0
272.66206147937004,929.0
272.7364717001513,914.0
272.8108756741392,913.0
272.8852734013337,897.0
272.9596648817348,903.0
273.0340501153425,903.0
273.10842910215683,903.0
273.1828018421777,887.0
273.2571683354052,885.0
273.33152858183934,907.0
273.40588258148006,904.0
273.4802303343273,918.0
273.5545718403812,930.0
273.6289070996417,941.0
273.7032361121088,945.0
273.7775588777825,1021.0
273.8518753966628,1085.0
273.9261856687497,990.0
274.0004896940432,929.0
274.07478747254333,936.0
274.14907900425004,989.0
274.22336428916327,1016.0
274.2976433272832,949.0
274.3719161186097,953.0
274.4461826631428,1000.0
274.5204429608825,1124.0
274.5946970118288,1101.0
274.6689448159817,1005.0
274.74318637334125,1078.0
274.81742168390736,1182.0
274.89165074768005,1042.0
274.96587356465926,977.0
275.0400901348452,932.0
275.1143004582377,951.0
275.1885045348368,985.0
275.2627023646425,970.0
275.3368939476548,978.0
275.41107928387373,1098.0
275.48525837329925,1123.0
275.55943121593134,979.0
275.63359781177,931.0
275.7077581608153,935.0
275.78191226306717,910.0
275.8560601185257,898.0
275.9302017271908,924.0
276.0043370890625,907.0
276.0784662041408,917.0
276.1525890724257,928.0
276.2267056939172,917.0
276.30081606861535,907.0
276.37492019652,916.0
276.4490180776313,922.0
276.5231097119492,937.0
276.5971950994737,980.0
276.6712742402048,961.0
276.7453471341425,947.0
276.8194137812868,947.0
276.8934741816377,910.0
276.9675283351952,921.0
277.0415762419593,905.0
277.11561790193,941.0
277.1896533151073,935.0
277.2636824814912,908.0
277.3377054010817,941.0
277.4117220738788,936.0
277.4857324998825,962.0
277.5597366790928,987.0
277.63373461150974,973.0
277.7077262971332,1011.0
277.7817117359633,1051.0
277.85569092800006,1071.0
277.92966387324327,1029.0
278.0036305716932,1013.0
278.07759102334967,1016.0
278.1515452282128,997.0
278.2254931862825,1016.0
278.2994348975588,982.0
278.3733703620417,1004.0
278.44729957973124,993.0
278.52122255062733,1020.0
278.59513927473006,1038.0
278.66904975203926,1036.0
278.7429539825552,1086.0
278.8168519662777,1152.0
278.8907437032068,1281.0
278.9646291933425,1488.0
